source_file,asset_canonical_id,display_name,category,mapping_status,canonical_id,family_id,slot_id,visual_reference_id,binding_ids,task_reference_ids,target_resource_path,usage_interfaces,variant,mapping_reason,sha256
merged_final_assets/batch01/px_item__entity.item.8a516352a5046efd__v001.png,visual.asset.f2be739b71cb283a,体力宝,item,mapped_explicit_canonical,entity.item.8a516352a5046efd,,,,entity.item.8a516352a5046efd,,assets/authoritative/batch01/f2be739b71cb283a.png,任务|背包|奖励,base,源文件名包含明确 canonical_id，直接绑定正式实体。,f2be739b71cb283a1b38d2dadb1bceacbb3c779cfc947ff4e842d4ac9c8f75f4
merged_final_assets/batch01/px_item__entity.item.c8ce3a99edc5fd2f__v001.png,visual.asset.869b41c0b5a82818,大体力宝,item,mapped_explicit_canonical,entity.item.c8ce3a99edc5fd2f,,,,entity.item.c8ce3a99edc5fd2f,,assets/authoritative/batch01/869b41c0b5a82818.png,任务|背包|奖励,base,源文件名包含明确 canonical_id，直接绑定正式实体。,869b41c0b5a82818508e5b80a47863f3437cca857fea701b5bf07e8e73acee15
merged_final_assets/batch01/px_quest_item__entity.item.878c75fdf5a8a4db__v001.png,visual.asset.bc8cc768455dbaa6,火灵珠,quest_item,mapped_explicit_canonical,entity.item.878c75fdf5a8a4db,,,,entity.item.878c75fdf5a8a4db,,assets/authoritative/batch01/bc8cc768455dbaa6.png,任务|背包|奖励,base,源文件名包含明确 canonical_id，直接绑定正式实体。,bc8cc768455dbaa6509395071b64adb199a8a5169d997b440a2000c17406da66
merged_final_assets/batch01/px_quest_item__entity.item.567e654d2b5ebe9c__v001.png,visual.asset.c2a10abf7d8100a8,照妖镜,quest_item,mapped_explicit_canonical,entity.item.567e654d2b5ebe9c,,,,entity.item.567e654d2b5ebe9c,,assets/authoritative/batch01/c2a10abf7d8100a8.png,任务|背包|奖励,base,源文件名包含明确 canonical_id，直接绑定正式实体。,c2a10abf7d8100a85c2b9a616c14bd6878cfa59582c1a520c8641c1046025f49
merged_final_assets/batch01/px_quest_item__entity.item.c03243eec96ebf87__v001.png,visual.asset.2df03f591d7f0bf6,蓬莱仙岛航海图,quest_item,mapped_explicit_canonical,entity.item.c03243eec96ebf87,,,,entity.item.c03243eec96ebf87,,assets/authoritative/batch01/2df03f591d7f0bf6.png,任务|背包|奖励,base,源文件名包含明确 canonical_id，直接绑定正式实体。,2df03f591d7f0bf6393341c2fdd55bac813cf817449c876804816648fb4ac225
merged_final_assets/batch01/px_treasure__entity.item.bd234f1f1daf22a1__v001.png,visual.asset.a1ab24e68b3d223f,百宝箱,treasure,mapped_explicit_canonical,entity.item.bd234f1f1daf22a1,,,,entity.item.bd234f1f1daf22a1,,assets/authoritative/batch01/a1ab24e68b3d223f.png,任务|背包|奖励,base,源文件名包含明确 canonical_id，直接绑定正式实体。,a1ab24e68b3d223f6a774bdf4019ecfc22334babb8516855b484c45730095ce3
merged_final_assets/batch01/px_equipment__entity.equipment.0a9002051ec96a64__v001.png,visual.asset.1fecb268f22b2f5b,+地魔指环(左),equipment,mapped_explicit_canonical,entity.equipment.0a9002051ec96a64,,,,entity.equipment.0a9002051ec96a64,,assets/authoritative/batch01/1fecb268f22b2f5b.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,1fecb268f22b2f5bf54dc112647f8195d8a6df6b3a85e183118408a71a7b91f3
merged_final_assets/batch01/px_equipment__entity.equipment.4ba9089b6dcc3a52__v001.png,visual.asset.b26c7a4d9347b14f,+地魔指环(右),equipment,mapped_explicit_canonical,entity.equipment.4ba9089b6dcc3a52,,,,entity.equipment.4ba9089b6dcc3a52,,assets/authoritative/batch01/b26c7a4d9347b14f.png,装备|背包|战斗,base,源文件名包含明确 canonical_id，直接绑定正式实体。,b26c7a4d9347b14fb43ed53e822bdf3bb7ceb87255d8d4dbfc4e7615717e308f
merged_final_assets/batch01/px_equipment__entity.equipment.4ba9089b6dcc3a52__rare_glow__v001.png,visual.asset.69f3829e1d284667,+地魔指环(右)_稀有发光,equipment,mapped_explicit_canonical,entity.equipment.4ba9089b6dcc3a52,,,,entity.equipment.4ba9089b6dcc3a52,,assets/authoritative/batch01/69f3829e1d284667.png,装备|背包|战斗,rare_glow,源文件名包含明确 canonical_id，直接绑定正式实体。,69f3829e1d28466760730ab09b52cffccbcb783457b0ff8cc0ca399b322425ef
merged_final_assets/batch01/px_equipment__entity.equipment.4ba9089b6dcc3a52__drop_flash__v001.png,visual.asset.3a0fb3667f9d0001,+地魔指环(右)_掉落特效,equipment,mapped_explicit_canonical,entity.equipment.4ba9089b6dcc3a52,,,,entity.equipment.4ba9089b6dcc3a52,,assets/authoritative/batch01/3a0fb3667f9d0001.png,装备|背包|战斗,drop_flash,源文件名包含明确 canonical_id，直接绑定正式实体。,3a0fb3667f9d0001360cd796959441debd7b84bdb0895b82574f96ee10d92204
